iter	Passed	Remaining
0	0	202
1	1	281
2	1	276
3	2	267
4	2	243
5	2	226
6	3	221
7	3	217
8	4	221
9	4	219
10	4	213
11	5	207
12	5	211
13	6	215
14	6	211
15	6	207
16	7	202
17	7	204
18	8	203
19	8	198
20	8	203
21	9	199
22	9	202
23	10	202
24	10	201
25	11	201
26	11	201
27	12	205
28	12	202
29	12	200
30	13	200
31	14	205
32	14	203
33	14	200
34	14	198
35	15	198
36	15	196
37	16	195
38	16	196
39	17	196
40	17	195
41	17	193
42	18	193
43	18	190
44	18	190
45	19	189
46	19	188
47	20	188
48	20	186
49	20	185
50	21	185
51	21	185
52	21	184
53	22	183
54	22	183
55	23	183
56	23	181
57	23	180
58	23	178
59	24	177
60	24	176
61	24	174
62	25	173
63	25	174
64	26	174
65	26	174
66	27	174
67	27	175
68	28	175
69	28	173
70	28	172
71	29	173
72	29	171
73	29	170
74	30	171
75	30	172
76	31	172
77	31	172
78	32	172
79	33	173
80	33	174
81	34	173
82	34	173
83	35	173
84	35	173
85	36	173
86	36	172
87	36	172
88	37	173
89	38	174
90	38	173
91	38	172
92	39	171
93	39	170
94	39	169
95	40	168
96	40	167
97	40	167
98	40	165
99	41	166
100	41	165
101	42	164
102	42	163
103	42	162
104	43	162
105	43	161
106	43	160
107	43	159
108	44	158
109	44	158
110	44	157
111	45	156
112	45	155
113	45	155
114	46	154
115	46	154
116	47	153
117	47	153
118	47	152
119	48	152
120	48	152
121	49	152
122	49	152
123	49	151
124	50	150
125	50	150
126	51	150
127	51	150
128	52	149
129	52	148
130	52	148
131	52	147
132	53	147
133	54	147
134	54	146
135	54	146
136	55	146
137	56	146
138	56	146
139	57	146
140	57	146
141	57	146
142	58	145
143	58	144
144	58	144
145	59	143
146	59	143
147	60	142
148	60	142
149	60	142
150	61	141
151	61	140
152	61	140
153	62	139
154	62	139
155	62	138
156	63	138
157	63	138
158	64	137
159	64	137
160	64	136
161	65	135
162	65	135
163	65	134
164	66	134
165	66	134
166	67	133
167	67	132
168	67	132
169	67	131
170	68	131
171	68	131
172	69	130
173	69	130
174	70	130
175	70	129
176	71	129
177	71	129
178	71	128
179	72	129
180	73	129
181	74	129
182	74	129
183	75	129
184	75	128
185	75	128
186	76	127
187	76	127
188	77	127
189	78	127
190	78	127
191	79	127
192	80	127
193	80	127
194	81	127
195	82	127
196	82	127
197	83	126
198	83	126
199	83	125
200	84	125
201	84	124
202	84	124
203	85	123
204	86	123
205	86	123
206	87	123
207	87	123
208	88	123
209	89	123
210	89	122
211	90	122
212	90	122
213	91	121
214	91	121
215	92	121
216	93	121
217	93	121
218	94	121
219	94	120
220	95	120
221	95	120
222	96	119
223	96	119
224	97	119
225	97	118
226	98	118
227	99	118
228	99	118
229	100	117
230	100	117
231	101	117
232	101	116
233	102	116
234	103	116
235	103	115
236	104	115
237	104	115
238	105	114
239	105	114
240	105	113
241	106	113
242	106	113
243	107	112
244	108	112
245	108	112
246	109	111
247	109	111
248	110	111
249	110	110
250	111	110
251	111	110
252	112	109
253	113	109
254	113	109
255	114	108
256	114	108
257	115	107
258	115	107
259	116	107
260	116	107
261	117	106
262	118	106
263	118	106
264	119	105
265	120	105
266	120	105
267	121	104
268	121	104
269	122	104
270	123	103
271	123	103
272	124	103
273	125	103
274	125	102
275	126	102
276	127	102
277	128	102
278	128	101
279	129	101
280	130	101
281	130	100
282	131	100
283	131	100
284	132	99
285	133	99
286	133	99
287	134	98
288	134	98
289	135	98
290	135	97
291	136	97
292	137	97
293	138	96
294	138	96
295	139	95
296	139	95
297	140	95
298	141	94
299	141	94
300	142	94
301	142	93
302	143	93
303	143	92
304	144	92
305	145	91
306	145	91
307	146	91
308	146	90
309	147	90
310	148	89
311	148	89
312	149	89
313	149	88
314	150	88
315	151	88
316	151	87
317	152	87
318	153	86
319	153	86
320	154	86
321	154	85
322	155	85
323	155	84
324	156	84
325	156	83
326	157	83
327	158	83
328	158	82
329	159	82
330	160	81
331	161	81
332	161	81
333	162	80
334	162	80
335	163	79
336	164	79
337	164	79
338	165	78
339	165	78
340	166	77
341	167	77
342	167	76
343	167	76
344	168	75
345	169	75
346	169	74
347	170	74
348	171	74
349	171	73
350	172	73
351	173	72
352	173	72
353	174	71
354	175	71
355	175	71
356	176	70
357	177	70
358	177	69
359	178	69
360	179	68
361	180	68
362	181	68
363	182	68
364	182	67
365	183	67
366	184	66
367	184	66
368	185	65
369	186	65
370	186	64
371	187	64
372	188	64
373	188	63
374	189	63
375	190	62
376	191	62
377	191	61
378	192	61
379	192	60
380	193	60
381	194	60
382	195	59
383	195	59
384	196	58
385	196	58
386	197	57
387	197	57
388	198	56
389	198	56
390	199	55
391	200	55
392	200	54
393	201	54
394	201	53
395	202	53
396	202	52
397	203	52
398	203	51
399	204	51
400	205	50
401	205	50
402	206	49
403	207	49
404	207	48
405	208	48
406	208	47
407	209	47
408	209	46
409	210	46
410	210	45
411	211	45
412	212	44
413	213	44
414	213	43
415	214	43
416	214	42
417	215	42
418	215	41
419	216	41
420	217	40
421	217	40
422	217	39
423	218	39
424	219	38
425	219	38
426	219	37
427	220	37
428	220	36
429	221	36
430	222	35
431	222	35
432	223	34
433	224	34
434	224	33
435	225	33
436	225	32
437	226	32
438	227	31
439	227	31
440	228	30
441	229	30
442	229	29
443	230	29
444	230	28
445	231	28
446	232	27
447	232	27
448	233	26
449	234	26
450	234	25
451	235	24
452	235	24
453	236	23
454	236	23
455	237	22
456	238	22
457	238	21
458	239	21
459	240	20
460	240	20
461	241	19
462	242	19
463	243	18
464	243	18
465	244	17
466	244	17
467	245	16
468	246	16
469	246	15
470	247	15
471	247	14
472	248	14
473	248	13
474	249	13
475	250	12
476	250	12
477	251	11
478	251	11
479	251	10
480	252	9
481	253	9
482	253	8
483	254	8
484	255	7
485	255	7
486	256	6
487	257	6
488	257	5
489	258	5
490	258	4
491	259	4
492	259	3
493	260	3
494	260	2
495	261	2
496	262	1
497	262	1
498	263	0
499	263	0
